,transfer time,request number,byte count,completion status
2017-6-1 20:00,2023,1383,302655877,0
2017-6-1 20:10,1565,887,285498838,0
2017-6-1 20:20,1242,590,52357904,1
2017-6-1 20:30,1591,626,449070056,0
2017-6-1 20:40,1284,626,52911848,0
2017-6-1 20:50,1181,608,45498892,1
2017-6-1 21:00,1301,545,177250972,1
2017-6-1 21:10,1249,519,43048572,1
2017-6-1 21:20,1022,475,287176501,1
2017-6-1 21:30,1427,718,263151068,1
2017-6-1 21:40,1280,742,111399844,0
2017-6-1 21:50,1182,694,489087108,1
2017-6-1 22:00,1183,658,68294553,1
2017-6-1 22:10,1170,687,161219132,1
2017-6-1 22:20,1185,725,137241588,1
2017-6-1 22:30,1346,731,361111572,1
2017-6-1 22:40,1153,711,83137994,0
2017-6-1 22:50,1241,744,69889156,1
2017-6-1 23:00,1442,651,337752859,1
2017-6-1 23:10,1226,678,267818094,1
2017-6-1 23:20,1131,713,63243860,1
2017-6-1 23:30,1118,754,38686060,1
2017-6-1 23:40,1215,775,48167748,0
2017-6-1 23:50,1098,777,32424020,1
2017-6-2 0:00,2064,1109,917174149,0
2017-6-2 0:10,2609,1236,636636756,0
2017-6-2 0:20,1488,748,176497652,1
2017-6-2 0:30,1264,808,299220960,1
2017-6-2 0:40,1495,934,125476772,0
2017-6-2 0:50,1515,959,98870580,1
2017-6-2 1:00,2872,1097,2031965022,0
2017-6-2 1:10,4619,1326,4627541132,1
2017-6-2 1:20,2213,821,790986236,1
2017-6-2 1:30,2333,818,1350112623,1
2017-6-2 1:40,2383,838,1487676734,0
2017-6-2 1:50,2450,917,1152263840,0
2017-6-2 2:00,3446,1747,2416060214,0
2017-6-2 2:10,2574,1093,1477492661,0
2017-6-2 2:20,2422,824,1284370988,1
2017-6-2 2:30,2850,938,1622547592,1
2017-6-2 2:40,2787,1041,1925274851,0
2017-6-2 2:50,2680,892,1831978316,1
2017-6-2 3:00,3198,1385,1925519850,0
2017-6-2 3:10,2863,1328,1922487812,0
2017-6-2 3:20,1534,449,661931148,1
2017-6-2 3:30,1999,571,1415102612,1
2017-6-2 3:40,3215,1002,772361120,0
2017-6-2 3:50,2065,1125,207564756,0
2017-6-2 4:00,2989,803,289220555,0
2017-6-2 4:10,2367,831,310949932,0
2017-6-2 4:20,2742,1150,413557972,1
2017-6-2 4:30,2857,1157,847720317,1
2017-6-2 4:40,1966,959,211274424,0
2017-6-2 4:50,3061,1520,970523356,0
2017-6-2 5:00,3351,1769,504709472,0
2017-6-2 5:10,4370,1604,415875268,0
2017-6-2 5:20,2826,1263,338690244,0
2017-6-2 5:30,2670,1231,443749652,0
2017-6-2 5:40,2849,1046,331863468,0
2017-6-2 5:50,2148,530,208995016,1
2017-6-2 6:00,1235,434,163920507,1
2017-6-2 6:10,1512,605,411180044,1
2017-6-2 6:20,1361,625,59373948,0
2017-6-2 6:30,1417,687,172166852,1
2017-6-2 6:40,1521,580,100921092,0
2017-6-2 6:50,1206,572,282865181,0
2017-6-2 7:00,1511,735,559692129,0
2017-6-2 7:10,1761,572,422697352,0
2017-6-2 7:20,1297,573,176161936,0
2017-6-2 7:30,1833,1016,134646272,0
2017-6-2 7:40,1508,872,102949564,0
2017-6-2 7:50,1494,571,198930392,0
2017-6-2 8:00,1823,508,287136919,1
2017-6-2 8:10,1964,816,451375709,0
2017-6-2 8:20,1264,599,102613948,0
2017-6-2 8:30,1284,497,381000328,0
2017-6-2 8:40,1187,402,170669595,0
2017-6-2 8:50,1158,368,304637542,0
2017-6-2 9:00,1702,878,160507945,0
2017-6-2 9:10,2117,855,123357256,0
2017-6-2 9:20,1917,424,1219425076,1
2017-6-2 9:30,1631,515,933440161,0
2017-6-2 9:40,2324,563,66890056,0
2017-6-2 9:50,2137,463,174705278,0
2017-6-2 10:00,1651,511,205076571,0
2017-6-2 10:10,1469,491,548005271,0
2017-6-2 10:20,1338,528,218849948,0
2017-6-2 10:30,1117,368,176099208,0
2017-6-2 10:40,7873,856,257505100,0
2017-6-2 10:50,2518,1084,180176172,0
2017-6-2 11:00,2228,1041,1030801119,0
2017-6-2 11:10,1175,592,350927337,0
2017-6-2 11:20,1198,563,81304654,1
2017-6-2 11:30,1615,664,320420212,0
2017-6-2 11:40,2327,709,187160134,0
2017-6-2 11:50,1131,565,118738097,0
2017-6-2 12:00,3134,1261,401625634,0
2017-6-2 12:10,2917,861,408184714,0
